102_DSS,106_DSS,ID,104_DSS,T0.7_DSS,100_DSS,103_DSS,101_DSS,75_DSS,3673_VECPAC,3354_VECPAC,3369_VECPAC,3688_VECPAC,3675_VECPAC,3677_VECPAC,3307_VECPAC,3329_VECPAC,3680_VECPAC,3337_VECPAC,3678_VECPAC,3679_VECPAC,3353_VECPAC,3674_VECPAC,3319_VECPAC,3302_VECPAC,935_LPS,941_LPS,934_LPS,940_LPS
,5.051490468464879e-07,Ethanamine-F,,2.0102003582969643e-05,1.307044056450904e-05,1.782040887599989e-05,9.61432205024026e-06,,1.572011312693568e-05,1.959294730854357e-05,1.9986426685893328e-05,9.97740278336511e-06,2.4523908347813537e-05,1.9005123557686464e-05,2.2306934121041924e-05,1.227050958596087e-05,1.644556905298271e-05,8.91178878016954e-06,1.9986426685893328e-05,1.227050958596087e-05,9.311484054051764e-06,8.789436112149386e-06,1.1040308477624518e-05,1.3674707895242087e-05,8.392569043058912e-06,3.1952970029292075e-05,9.901359718928036e-06,1.0514066459711718e-05
,,L-Asparagine-F,,2.116270788611208e-05,1.9460812685940265e-05,4.317767916470863e-06,4.561994165419624e-06,,7.952419982320188e-06,6.267353285256778e-06,8.71873089219062e-06,2.797508392698753e-07,,5.346310822575526e-06,,5.652554360780266e-06,6.101294479028287e-06,4.060200940597134e-06,1.0487570078712236e-05,4.4736981628389446e-06,6.195719989485858e-06,6.195719989485858e-06,,1.1202664999138725e-05,8.027817364163943e-06,,8.837618555691014e-06,1.3084543348858826e-05
,,L-Glutamine-F,,2.185160409217228e-05,,,,,1.7344629467056497e-05,,1.596140527472915e-07,1.6558376670944696e-05,1.7616001737902115e-05,,,,,2.1495977798260634e-05,1.0090781793674955e-05,2.869457507807134e-05,9.213874226892582e-06,,2.9897597847884973e-05,1.1932006955256328e-05,2.6443296428767492e-05,,1.8648784226797527e-05,2.4064840669503068e-05
1.1659656398198633e-05,3.2583451510742636e-05,L-Hydroxyproline-F,7.390743356546684e-06,1.7330099864400886e-05,1.5790216861071502e-05,1.448044567008877e-05,1.1479781011992627e-05,4.681531061450952e-06,1.7188950981714575e-05,4.5543860543956285e-05,2.6879062833220023e-05,1.0487570078712236e-05,1.2208818932674653e-05,7.952419982320188e-06,1.9136547226177323e-05,3.32334173050494e-06,1.4902948435702968e-05,1.8723461074844276e-05,9.042157442033253e-06,1.3961749599710964e-05,1.959294730854357e-05,2.7185629606634103e-05,1.0728957563634708e-05,1.4620042027486713e-05,3.1647344176765684e-05,1.514970413027093e-05,2.4323677545534385e-05,5.650563956966111e-05
7.330555452571142e-06,3.382596780109597e-06,L-Lysine-F,2.634354491413347e-05,3.7988389220130135e-05,4.954047227988588e-05,2.42896536467224e-05,1.1349022807710562e-05,3.776279473693108e-05,4.012561288730162e-05,3.838907268305318e-06,2.2328191271527273e-06,6.029258748765645e-06,7.900262314483305e-06,7.691870802174976e-06,5.739971462712748e-06,,1.8729174152879864e-06,,4.786228592863906e-05,5.5536882704780605e-05,2.9897597847884973e-05,2.008698486329516e-05,5.57539324073144e-06,5.940644450880551e-05,8.355607329454319e-07,,,3.272055131890429e-05
6.26850602475329e-06,8.944570875658423e-06,L-Norvaline-F,,1.393279199682988e-05,4.7287296916796654e-05,2.313973378450096e-05,1.7526733275419454e-05,1.1812957040007942e-05,4.204972701868237e-06,3.708687676613752e-06,2.5503480585556884e-06,9.213874226892582e-06,2.4373025423558204e-06,,4.418146983729302e-06,4.4736981628389446e-06,4.060200940597134e-06,4.285824892463443e-06,2.355667624442488e-06,1.1413043010049007e-05,1.1612028479114978e-05,7.353224287020933e-06,2.9188931357302075e-06,1.2871502161561723e-05,1.9511628227902815e-05,7.932715454133417e-06,1.836056416543893e-06,6.238935363090239e-06
1.4861771818347083e-05,1.8423418974549783e-05,L-Serine-F,1.5744919334713476e-05,1.8595532697554464e-05,1.6530764204792264e-05,1.8710032963879787e-05,1.235586967946416e-05,1.710488269808292e-05,1.1202664999138725e-05,1.2078836338496938e-05,1.4063340123578813e-05,8.480942778780368e-06,1.0913699317503476e-05,7.198196903208721e-06,1.7188950981714575e-05,2.869457507807134e-05,1.500034223834365e-05,1.3856208526654547e-05,1.0840204443001189e-05,1.1040308477624518e-05,1.7062796515113937e-05,6.3799680352538855e-06,2.1841778363667705e-05,2.008698486329516e-05,1.7390712391228288e-05,1.4518114604552437e-05,1.1761973782469904e-05,2.3014179859151952e-05
2.030457547091707e-05,1.63820550378874e-05,N-Acetylglucosamine-F,1.1027329716359414e-05,3.918652043120164e-05,7.830005257814369e-06,6.410432747670929e-06,1.8073418160463454e-05,5.935310561885849e-06,6.4835340690195805e-06,7.307106905725083e-06,1.3466760060806866e-05,4.4736981628389446e-06,7.620728118776205e-06,6.195719989485858e-06,1.2615483742156777e-05,1.8862619276440532e-05,2.4523908347813537e-05,1.5172850763961797e-05,1.4902948435702968e-05,1.0326710833809038e-05,3.2541480802974324e-05,4.591718606998633e-06,2.832062856085168e-05,9.042157442033253e-06,2.929367821373273e-05,1.1917979989316106e-05,1.9730405206250328e-05,3.255935803312797e-05
5.422453129935512e-06,3.0853405893006655e-05,Niacinamide-F,1.4115726791071148e-05,2.620625814779149e-05,1.251816528613377e-05,1.0090223013501271e-05,1.5609026755639387e-05,1.950777689971103e-05,2.620340902249302e-05,,,3.390145491397535e-05,1.928136910916207e-05,4.786228592863906e-05,,1.0215618079267385e-05,,2.3629461226985454e-05,1.7616001737902115e-05,2.7185629606634103e-05,3.576797677898148e-05,3.923185740776969e-05,2.1495977798260634e-05,1.693009845688965e-05,1.478167612241706e-05,,,2.952892746175719e-05
9.544911242431532e-06,,N-Methyl-alpha-aminoisobutyric acid-F,9.86678912541326e-06,4.2751237330948965e-05,1.1902622933739394e-05,5.7874234617884066e-06,1.9582579481758426e-05,2.9132075330914097e-06,2.6577301920419655e-05,,9.213874226892582e-06,2.869457507807134e-05,,2.3629461226985454e-05,9.258704550439152e-06,,,1.3674707895242087e-05,4.345004654507616e-05,2.5902726833547406e-05,3.923185740776969e-05,3.059419164787951e-05,2.3887850772886572e-05,3.773422781433982e-05,,,3.3132118020880145e-06,4.906670434602368e-05
2.6988523191489027e-05,1.8079635399120293e-05,Phloroglucinol-F,2.452308768438531e-05,3.2292539494155514e-05,1.8761136254979415e-05,1.7104303034974996e-05,2.206483434554881e-05,2.0658751508868113e-05,2.414684762315199e-05,1.309830459546029e-05,1.621220549397703e-05,1.3856208526654547e-05,1.4818777915433826e-05,1.825126257942127e-05,1.5091424577953678e-05,1.6054494792383944e-05,2.4839556875137356e-05,1.5365543292194056e-05,2.7971670520343615e-05,1.526312974151954e-05,3.123124662168535e-05,1.4620042027486713e-05,2.32416102774216e-05,1.5561833237917407e-05,3.752981161300483e-05,8.027817364163943e-06,4.400464789219103e-05,2.4323677545534385e-05
1.045478783687502e-05,3.0030604806098397e-05,Thr-Leu-F,,2.7700395279694107e-05,1.5090261259838827e-05,4.364139980073052e-06,,2.789027046413348e-05,2.9259696673225892e-05,4.989975540120855e-06,3.708687676613752e-06,3.2541480802974324e-05,,4.5543860543956285e-05,1.5242238489794084e-06,,4.680031389540245e-07,9.042157442033253e-06,3.2541480802974324e-05,2.304591577534761e-05,2.75920974319075e-05,4.345004654507616e-05,8.60022333596996e-06,1.4063340123578813e-05,,,3.916438176610061e-06,4.090820967260085e-05
,1.3589139203882464e-05,Xanthine-F,,1.1267313288645191e-05,4.04726402169037e-06,6.674519908748268e-07,4.471311006304033e-06,,,,,,,,,,,,,8.52754837063112e-06,,1.8145783165286223e-05,,,4.463384885273438e-06,1.603110529073754e-05,8.608358890077261e-06,3.574596130795985e-06
4.631037028103475e-06,3.1564037196736394e-06,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",2.929972100053881e-05,,3.167052156207146e-06,,,4.127417515545797e-05,,,,,,3.576797677898148e-05,0.0001936990815429,,,,,,7.112681932279086e-05,,,,,,,
1.9545178190734727e-05,2.434641496804444e-05,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",2.1275246514153338e-05,4.7287296916796654e-05,2.6988523191489027e-05,2.9963994925811656e-05,2.576605936152483e-05,2.0755781389938976e-05,,1.7467951015074844e-05,1.8723461074844276e-05,,6.838683640633865e-06,8.843702351791274e-06,9.71201344212411e-06,1.79827107792425e-05,2.832062856085168e-05,1.979374274563558e-05,2.620340902249302e-05,1.6806733516036798e-05,2.3629461226985454e-05,7.307106905725083e-06,9.311484054051764e-06,8.52754837063112e-06,,,2.4944204315232952e-05,2.5649715426609503e-05
1.89144461282783e-05,1.161057319537282e-05,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-F",1.5437346694893024e-05,,8.82987821579131e-06,1.182446759253253e-05,1.6709213173689982e-05,1.1349022807710562e-05,,,,,,,,,,,,,,,,,,,,
1.4219892183594853e-05,1.0389523267657626e-05,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--F",1.2535323434486798e-05,2.7298397369040544e-05,1.054808719348354e-05,1.182446759253253e-05,1.3307026984933546e-05,1.2686874670412843e-05,,5.739971462712748e-06,5.061030294190105e-06,,2.304591577534761e-05,2.0300517555349247e-05,,8.012154046405676e-06,1.1347893720169177e-05,2.049905241642875e-05,,2.3887850772886572e-05,1.9986426685893328e-05,,3.576797677898148e-05,2.9188931357302075e-06,5.9854742218891424e-06,9.901359718928036e-06,6.84637212882438e-06,3.12718259383932e-05
2.2880449778157066e-05,1.732656189020077e-05,1-(2-Methoxy-1-methylethoxy)-2-propanol-F,1.873429735255363e-05,,1.9834363825530043e-05,2.01274101474737e-05,1.950777689971103e-05,1.4372265497424615e-05,,,,,,,,,,,,,,,,,0.0001247006424193,,0.0001648008160645,
2.5968462607703692e-06,3.268627187811113e-05,"1,1'-Biphenyl, 2,2',5,5'-tetramethyl-F",4.0251084634536926e-06,,1.9002326871187016e-06,2.8730183291815375e-06,3.776279473693108e-05,4.792990000527625e-05,,,,,,,,,,,,,,,,,,,,
,,"1,2,4,5-Cyclohexanetetrol-F",1.4579608703051316e-05,,1.4861771818347083e-05,3.3532277522776966e-06,,8.258279059646372e-06,3.680674354561085e-05,2.9897597847884973e-05,2.5475803733856748e-05,,,0.0001936990815429,5.2620193109722245e-05,,,,,,,5.5536882704780605e-05,5.5536882704780605e-05,2.869457507807134e-05,,,4.190080426421601e-05,
2.3013007459322897e-06,2.4239294845889594e-06,"1,2,4-Butanetriol-F",2.677224729048848e-06,7.46952606681133e-05,4.5299745100100205e-05,,2.8599266972824817e-05,,,,,,,,,,,,,,,,,,,,,0.0001538954015144
9.360376010820136e-06,1.5487081374959183e-05,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy--F",8.944570875658423e-06,5.935310561885849e-06,3.167052156207146e-06,1.2069064934656574e-05,3.3058251089819553e-06,9.090607517997622e-06,,,2.797508392698753e-07,,,,,,,8.511103045165092e-07,,1.3665509920555578e-08,2.32416102774216e-05,5.148709247549425e-07,7.996172237438206e-05,,2.5522233466767726e-06,,,
1.4712561679349532e-05,2.2348995980876115e-05,"1,4-Butanediol-F",,,5.019531850349988e-06,5.019531850349988e-06,1.0859288351675112e-05,,,,,,1.1760244376352708e-05,,,,6.497420543599908e-05,5.878732359027068e-06,,,6.267353285256778e-06,,,,,,,
1.0023024744523334e-05,6.1475581464975165e-06,"1,5-Anhydroglucitol-F",1.1533079445742404e-05,7.743995116994161e-05,1.5119424900517684e-06,5.7874234617884066e-06,2.258485701236441e-05,3.966370409353838e-06,9.042157442033253e-06,3.451649398285719e-06,3.1616497607301085e-06,1.0620821558699816e-05,2.7786100683678203e-06,7.739159808239551e-06,2.414684762315199e-05,1.4692668790401846e-05,2.7786100683678203e-06,1.2414203855034256e-05,1.1281872769247187e-05,1.644556905298271e-05,1.8591246095945467e-05,9.311484054051764e-06,4.4736981628389446e-06,1.4444563084082658e-05,3.1562037456670997e-06,6.7727348997407e-06,1.2851666336797695e-06,1.910563731616014e-05
,1.4653633404976178e-05,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",1.710488269808292e-05,,,,,1.5199528222535453e-05,,,,,5.878732359027068e-06,6.27408295725197e-07,2.680847064643316e-06,,1.0594866739571735e-06,,4.680031389540245e-07,1.1347893720169177e-05,,2.355667624442488e-06,,,,,,
4.792990000527625e-05,,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,3.279519807059078e-05,,,,,,,,,8.227600277440442e-06,4.591718606998633e-06,,4.4736981628389446e-06,4.418146983729302e-06,3.993510637437755e-06,,8.511103045165092e-07,,,,1.579900772525557e-06,1.8729174152879864e-06,,1.121290687352542e-05,2.4840393181237777e-06,2.3783645125629813e-06
4.379597349444373e-06,7.657439056734032e-06,11-Methyldodecanol-F,2.669672317085981e-05,1.55027119377882e-05,,1.3792717638957483e-05,3.411965807941497e-06,1.050143751517928e-05,1.2871502161561723e-05,1.3961749599710964e-05,1.327857368940808e-05,1.1760244376352708e-05,1.783254620541652e-05,1.5091424577953678e-05,1.215491651726108e-05,9.36547765043883e-06,1.215491651726108e-05,1.1532250407178815e-05,1.4558705444856754e-05,8.227600277440442e-06,1.309830459546029e-05,1.3355552836233331e-05,1.1532250407178815e-05,1.0388217036061963e-05,3.101308615054718e-05,3.5632149126457636e-05,3.2908986494800884e-05,1.2016705068176969e-05
1.7595941370518887e-05,2.0253151075137407e-05,12-Oxooctadecanoate-F,1.975306229517171e-05,3.0030604806098397e-05,9.704946581785091e-06,1.246057520347657e-05,1.0603883113983254e-05,1.5609026755639387e-05,1.309830459546029e-05,2.5058159326239772e-05,3.2541480802974324e-05,8.71873089219062e-06,7.952419982320188e-06,1.4363782053803332e-05,,4.157008035756903e-05,2.4373025423558204e-06,1.16750228775351e-05,2.9897597847884973e-05,1.2768255496444658e-05,1.500034223834365e-05,3.451649398285719e-06,1.6806733516036798e-05,5.251696931839343e-06,1.4421832935193043e-05,,2.173879122112292e-05,5.401630854028378e-07
1.8431696318303385e-05,2.336105999158034e-05,13-Docosenamide-F,1.3313767803771696e-05,1.688621935250256e-05,5.222538188887127e-06,5.467794719228499e-06,7.830005257814369e-06,1.6004248595617847e-05,6.3799680352538855e-06,9.97740278336511e-06,9.36547765043883e-06,,9.36547765043883e-06,5.153499881227712e-06,1.5561833237917407e-05,3.18522214976345e-05,1.8145783165286223e-05,8.32966123896967e-06,4.824168698834687e-06,7.900262314483305e-06,9.47162724769854e-06,4.418146983729302e-06,8.480942778780368e-06,4.4736981628389446e-06,5.980927869482815e-07,0.0001648008160645,3.921669419652718e-05,2.2960613279423694e-06
1.789660733847541e-06,6.674519908748268e-07,17-alpha-Hydroxypregnenolone-F,1.971852029410025e-06,,3.672680256023734e-06,3.3058251089819553e-06,4.680512051932894e-07,1.873429735255363e-05,,,0.000356127239404,,,,2.7786100683678203e-06,,,,,0.0001936990815429,,,,,,,0.0001247006424193,
,,18-Methyl-nonadecanol-F,,,,,,9.991682278919904e-07,,,,,,,,,,,,,,,3.4796576262333415e-05,2.5475803733856748e-05,,,,2.611088457072969e-05
,,1-Deoxypentitol-F,,,,,,4.7287296916796654e-05,,,2.869457507807134e-05,,5.2620193109722245e-05,,,0.0001352344947286,,,,4.012561288730162e-05,2.0666979472325727e-05,4.667820533428246e-06,,,,,,4.236009775902213e-05
,,1-Dodecanol-F,,8.73363541373711e-06,,,,,2.5503480585556884e-06,5.346310822575526e-06,2.7786100683678203e-06,1.7822389905926072e-06,3.5938707091906705e-06,2.7786100683678203e-06,,3.708687676613752e-06,2.5503480585556884e-06,5.148709247549425e-07,1.4500776211059256e-06,2.797508392698753e-07,1.7822389905926072e-06,2.4373025423558204e-06,1.0622152596074533e-07,1.579900772525557e-06,9.107782903386053e-06,1.717122286859092e-05,9.980623081251986e-06,2.7857133842763493e-06
2.176880498986488e-05,1.2042789878760836e-05,1-Dodecene-F,1.836604773354823e-05,,6.879817174017473e-06,9.544911242431532e-06,1.1479781011992627e-05,1.55027119377882e-05,,,,,,,,,,,,,,,,,,,,
2.215707955705869e-05,3.868473704894402e-06,1-Hexacosene-F,5.5048923056506085e-06,1.2910901587876432e-05,1.1122797405308824e-05,5.441001963542632e-06,1.4655672715643905e-05,6.092911798553189e-06,8.511103045165092e-07,0.000356127239404,,3.680674354561085e-05,,0.0001000827545384,3.2548715103668688e-06,2.2328191271527273e-06,,1.0435167259978e-05,3.708687676613752e-06,1.0487570078712236e-05,,9.258704550439152e-06,,,3.2908986494800884e-05,3.889895291349025e-05,2.735531444564817e-05,2.4944204315232952e-05
4.723781184029817e-06,3.4799782986616144e-06,1-Hexadecanol-F,4.3950547188156935e-06,1.765405291100132e-05,2.0215364202095466e-05,2.210566370724355e-05,1.7056843290288054e-05,3.3532277522776966e-06,7.307106905725083e-06,1.1281872769247187e-05,9.841198238582704e-06,8.664586869282965e-06,1.5967807379959314e-05,9.36547765043883e-06,9.97740278336511e-06,,1.2078836338496938e-05,2.008698486329516e-05,8.273461006934159e-06,9.841198238582704e-06,1.1532250407178815e-05,1.1281872769247187e-05,1.2414203855034256e-05,6.67648829467256e-06,2.6590830101793257e-05,3.11542014918176e-05,2.080604252632017e-05,9.075507640204865e-06
5.803970515719202e-06,5.5048923056506085e-06,1-Hexanol-F,1.836604773354823e-05,3.4649152282659024e-05,2.5515636422169148e-05,6.988409252482789e-06,1.45926658199351e-05,2.257722375381351e-05,1.3585756759300332e-05,,,,,,,,,,,,,1.3770475305366092e-05,,,,0.0001361039451123,,
3.150879501328838e-05,2.2927331340685753e-05,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",6.686423142172537e-05,2.5311722434738515e-05,3.268627187811113e-05,2.5713226812179467e-05,3.2583451510742636e-05,4.346491473329062e-05,1.9005123557686464e-05,9.042157442033253e-06,7.739159808239551e-06,1.5472069966158023e-05,1.0388217036061963e-05,1.945039667301927e-05,9.36547765043883e-06,1.6806733516036798e-05,1.0215618079267385e-05,1.0215618079267385e-05,2.32416102774216e-05,1.630187471995777e-05,1.185895803842346e-05,1.7616001737902115e-05,1.0953974500899492e-05,1.327857368940808e-05,1.7005674772614e-05,,1.3966068169517631e-05,1.4128713087854016e-05
,5.709265376450192e-06,"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3alpha,4abeta,6aalpha,10abeta,10balpha)]--F",,,,9.991682278919904e-07,5.2609755160149965e-05,,,3.325545417503186e-05,,,,,,,,,,,,,,,,2.621384154650823e-05,,
4.212657840889381e-06,5.634063006732416e-06,1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,3.23059920168965e-06,9.277628608016003e-06,7.589161735392594e-06,3.021409263273309e-06,1.5371981451997847e-05,6.674519908748268e-07,2.832062856085168e-05,1.3355552836233331e-05,2.4839556875137356e-05,1.8145783165286223e-05,4.824168698834687e-06,2.4373025423558204e-06,,0.000356127239404,2.620340902249302e-05,9.540982189462616e-07,1.3035304206314098e-05,1.0622152596074533e-07,4.418146983729302e-06,1.5242238489794084e-06,1.3770475305366092e-05,1.9136547226177323e-05,,4.84941585061175e-05,2.6590830101793257e-05,3.1562037456670997e-06
1.6512916230487514e-05,9.815548044266703e-06,1-Monomyristin-F,1.3798916561898663e-05,,1.2422801951330743e-05,1.346120737417283e-05,1.3562024007071758e-05,1.161057319537282e-05,,,,,,,,,,,,,,,,,,,,
2.159440673801431e-05,1.2392257246835673e-05,1-Monopalmitin-F,,,8.475331466299738e-06,1.0659679034482969e-05,1.2567083921581371e-05,1.4655672715643905e-05,,,,,,,,,,,,,,,,,0.0002184093386385,,9.176438227712913e-05,
2.7700395279694107e-05,4.990678143691568e-06,1-Octadecanol-F,2.343767946148007e-05,2.6481281622744387e-05,2.2350742716287636e-05,3.727730647654299e-05,2.034878310473378e-05,1.657395695721218e-05,2.4523908347813537e-05,2.869457507807134e-05,3.18522214976345e-05,2.008698486329516e-05,2.7971670520343615e-05,2.1495977798260634e-05,2.109789863352044e-05,2.109789863352044e-05,2.414684762315199e-05,2.5475803733856748e-05,2.284254472678872e-05,1.783254620541652e-05,1.945039667301927e-05,2.049905241642875e-05,2.109789863352044e-05,1.621220549397703e-05,3.685888207214996e-05,7.439637344533094e-05,4.1170243598062e-05,2.6787585419746015e-05
4.463682502934161e-05,3.4649152282659024e-05,1-Octanol-F,3.358745976749155e-05,2.3590918401279535e-05,2.484664033988511e-05,2.8778991848421128e-05,2.7700395279694107e-05,4.463682502934161e-05,2.869457507807134e-05,3.390145491397535e-05,,2.3887850772886572e-05,4.012561288730162e-05,,2.1841778363667705e-05,,,,2.3887850772886572e-05,1.7188950981714575e-05,1.8383241545773224e-05,2.9897597847884973e-05,,1.7467951015074844e-05,,,,
,,"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]--F",,,1.7015225490899035e-06,8.577534420262301e-07,,3.021409263273309e-06,,,6.892096132425918e-07,0.0001936990815429,7.112681932279086e-05,,,,,,,,,0.0001000827545384,0.0001352344947286,,,,,
1.4772244342186592e-05,8.068926943969344e-06,"1-Propanamine, N,N-diethyl--F",1.3313767803771696e-05,1.8158082577755487e-05,1.045478783687502e-05,1.1151599586724558e-05,1.2797070350176512e-05,1.4060860764688245e-05,2.4839556875137356e-05,2.0666979472325727e-05,2.4523908347813537e-05,1.9136547226177323e-05,2.5902726833547406e-05,1.7188950981714575e-05,6.4835340690195805e-06,2.008698486329516e-05,6.3799680352538855e-06,2.4373025423558204e-06,2.304591577534761e-05,1.3856208526654547e-05,1.2078836338496938e-05,1.572011312693568e-05,3.838907268305318e-06,1.1476418585063051e-05,3.574596130795985e-06,4.1170243598062e-05,2.7857133842763493e-06,6.345107672537229e-06
1.2725837388665158e-05,8.475331466299738e-06,1-Tetracosene-F,1.1426482578242848e-05,9.13932861152029e-06,2.893112931136474e-06,2.6411574802650812e-06,4.631037028103475e-06,1.072578692735823e-05,4.591718606998633e-06,3.123124662168535e-05,2.6577301920419655e-05,,0.0001352344947286,1.9136547226177323e-05,1.6054494792383944e-05,2.9897597847884973e-05,4.418146983729302e-06,1.2480303729688104e-05,1.9136547226177323e-05,,,1.0594866739571735e-06,9.71201344212411e-06,,4.1170243598062e-05,3.226693997592152e-05,4.84941585061175e-05,4.1170243598062e-05
