2.2328191271527273e-06,4.012561288730162e-05,3.838907268305318e-06,5.57539324073144e-06,4.786228592863906e-05,2.9897597847884973e-05,,7.900262314483305e-06,,5.739971462712748e-06,1.8729174152879866e-06,5.940644450880551e-05,7.691870802174976e-06,2.0086984863295162e-05,L-Lysine-F,6.029258748765645e-06,5.5536882704780605e-05
2.5503480585556884e-06,4.204972701868237e-06,3.7086876766137524e-06,2.9188931357302075e-06,2.355667624442488e-06,1.1612028479114978e-05,4.285824892463443e-06,2.4373025423558204e-06,4.4736981628389446e-06,4.418146983729302e-06,4.060200940597134e-06,1.2871502161561723e-05,,7.3532242870209334e-06,L-Norvaline-F,9.213874226892582e-06,1.1413043010049007e-05
1.4063340123578813e-05,1.1202664999138725e-05,1.2078836338496938e-05,2.1841778363667702e-05,1.0840204443001187e-05,1.7062796515113937e-05,1.3856208526654547e-05,1.0913699317503476e-05,2.869457507807134e-05,1.7188950981714575e-05,1.500034223834365e-05,2.0086984863295162e-05,7.198196903208721e-06,6.3799680352538855e-06,L-Serine-F,8.480942778780368e-06,1.1040308477624518e-05
1.3466760060806866e-05,6.4835340690195805e-06,7.307106905725083e-06,2.832062856085168e-05,1.4902948435702968e-05,3.2541480802974324e-05,1.5172850763961795e-05,7.620728118776205e-06,1.8862619276440532e-05,1.2615483742156777e-05,2.4523908347813537e-05,9.042157442033251e-06,6.195719989485858e-06,4.591718606998633e-06,N-Acetylglucosamine-F,4.4736981628389446e-06,1.0326710833809038e-05
,2.620340902249302e-05,,2.1495977798260634e-05,1.7616001737902115e-05,3.576797677898148e-05,2.3629461226985454e-05,1.928136910916207e-05,1.0215618079267383e-05,,,1.693009845688965e-05,4.786228592863906e-05,3.923185740776969e-05,Niacinamide-F,3.390145491397535e-05,2.7185629606634106e-05
9.213874226892582e-06,2.6577301920419655e-05,,2.3887850772886572e-05,4.345004654507616e-05,3.923185740776969e-05,1.3674707895242089e-05,,,9.258704550439152e-06,,3.773422781433982e-05,2.3629461226985454e-05,3.059419164787951e-05,N-Methyl-alpha-aminoisobutyric acid-F,2.869457507807134e-05,2.5902726833547406e-05
1.621220549397703e-05,2.4146847623151994e-05,1.309830459546029e-05,2.32416102774216e-05,2.7971670520343615e-05,3.123124662168535e-05,1.5365543292194056e-05,1.4818777915433826e-05,1.6054494792383944e-05,1.5091424577953678e-05,2.4839556875137356e-05,1.5561833237917407e-05,1.825126257942127e-05,1.4620042027486711e-05,Phloroglucinol-F,1.3856208526654547e-05,1.526312974151954e-05
3.7086876766137524e-06,2.9259696673225892e-05,4.989975540120855e-06,8.60022333596996e-06,3.2541480802974324e-05,2.75920974319075e-05,9.042157442033251e-06,,,1.5242238489794084e-06,4.6800313895402444e-07,1.4063340123578813e-05,4.5543860543956285e-05,4.345004654507616e-05,Thr-Leu-F,3.2541480802974324e-05,2.304591577534761e-05
,,,,,,,,,,,,,1.8145783165286223e-05,Xanthine-F,,8.52754837063112e-06
,,,,,7.112681932279086e-05,,,,0.0001936990815429624,,,3.576797677898148e-05,,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",,
1.8723461074844276e-05,,1.7467951015074844e-05,9.311484054051763e-06,2.620340902249302e-05,2.3629461226985454e-05,1.979374274563558e-05,6.838683640633865e-06,1.79827107792425e-05,9.71201344212411e-06,2.832062856085168e-05,8.52754837063112e-06,8.843702351791274e-06,7.307106905725083e-06,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",,1.6806733516036798e-05
,,,,,,,,,,,,,,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-F",,
5.061030294190105e-06,,5.739971462712748e-06,3.576797677898148e-05,,1.9986426685893328e-05,2.049905241642875e-05,2.304591577534761e-05,8.012154046405676e-06,,1.1347893720169175e-05,2.9188931357302075e-06,2.0300517555349247e-05,,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--F",,2.3887850772886572e-05
,,,,,,,,,,,,,,1-(2-Methoxy-1-methylethoxy)-2-propanol-F,,
,,,,,,,,,,,,,,"1,1'-Biphenyl, 2,2',5,5'-tetramethyl-F",,
2.5475803733856748e-05,3.680674354561085e-05,2.9897597847884973e-05,5.5536882704780605e-05,,,,,,5.2620193109722245e-05,,2.869457507807134e-05,0.0001936990815429624,5.5536882704780605e-05,"1,2,4,5-Cyclohexanetetrol-F",,
,,,,,,,,,,,,,,"1,2,4-Butanetriol-F",,
2.797508392698753e-07,,,7.996172237438206e-05,,2.32416102774216e-05,8.511103045165092e-07,,,,,,,5.148709247549425e-07,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy--F",,1.3665509920555578e-08
,,,,,6.267353285256778e-06,5.878732359027068e-06,1.1760244376352708e-05,,,6.497420543599908e-05,,,,"1,4-Butanediol-F",,
3.1616497607301085e-06,9.042157442033251e-06,3.4516493982857194e-06,4.4736981628389446e-06,1.1281872769247189e-05,1.8591246095945467e-05,1.2414203855034255e-05,2.7786100683678203e-06,1.4692668790401846e-05,2.4146847623151994e-05,2.7786100683678203e-06,1.4444563084082658e-05,7.739159808239551e-06,9.311484054051763e-06,"1,5-Anhydroglucitol-F",1.0620821558699816e-05,1.644556905298271e-05
,,,,4.6800313895402444e-07,,,5.878732359027068e-06,,2.680847064643316e-06,1.0594866739571737e-06,,6.27408295725197e-07,2.355667624442488e-06,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",,1.1347893720169175e-05
,,,1.579900772525557e-06,8.511103045165092e-07,,,4.591718606998633e-06,4.418146983729302e-06,4.4736981628389446e-06,3.993510637437755e-06,1.8729174152879866e-06,,,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,8.227600277440442e-06,
1.3278573689408081e-05,1.2871502161561723e-05,1.3961749599710963e-05,1.1532250407178815e-05,1.4558705444856754e-05,1.309830459546029e-05,1.1532250407178815e-05,1.783254620541652e-05,9.36547765043883e-06,1.2154916517261081e-05,1.2154916517261081e-05,1.0388217036061963e-05,1.5091424577953678e-05,1.3355552836233331e-05,11-Methyldodecanol-F,1.1760244376352708e-05,8.227600277440442e-06
3.2541480802974324e-05,1.309830459546029e-05,2.5058159326239772e-05,1.6806733516036798e-05,2.9897597847884973e-05,1.500034223834365e-05,1.1675022877535101e-05,7.952419982320188e-06,4.157008035756903e-05,,2.4373025423558204e-06,5.251696931839343e-06,1.4363782053803333e-05,3.4516493982857194e-06,12-Oxooctadecanoate-F,8.71873089219062e-06,1.2768255496444658e-05
9.36547765043883e-06,6.3799680352538855e-06,9.97740278336511e-06,8.480942778780368e-06,4.824168698834687e-06,9.47162724769854e-06,8.32966123896967e-06,9.36547765043883e-06,3.18522214976345e-05,1.5561833237917407e-05,1.8145783165286223e-05,4.4736981628389446e-06,5.153499881227712e-06,4.418146983729302e-06,13-Docosenamide-F,,7.900262314483305e-06
0.0003561272394040816,,,,,,,,,2.7786100683678203e-06,,,,,17-alpha-Hydroxypregnenolone-F,,0.0001936990815429624
,,,3.4796576262333415e-05,,,,,,,,2.5475803733856748e-05,,,18-Methyl-nonadecanol-F,,
2.869457507807134e-05,,,,,2.0666979472325727e-05,,5.2620193109722245e-05,0.00013523449472860487,,,,,4.667820533428246e-06,1-Deoxypentitol-F,,4.012561288730162e-05
2.7786100683678203e-06,2.5503480585556884e-06,5.346310822575526e-06,1.0622152596074531e-07,1.4500776211059256e-06,1.7822389905926072e-06,5.148709247549425e-07,3.5938707091906705e-06,3.7086876766137524e-06,,2.5503480585556884e-06,1.579900772525557e-06,2.7786100683678203e-06,2.4373025423558204e-06,1-Dodecanol-F,1.7822389905926072e-06,2.797508392698753e-07
,,,,,,,,,,,,,,1-Dodecene-F,,
,8.511103045165092e-07,0.0003561272394040816,,3.7086876766137524e-06,,1.0435167259978e-05,,2.2328191271527273e-06,3.2548715103668688e-06,,,0.00010008275453845451,9.258704550439152e-06,1-Hexacosene-F,3.680674354561085e-05,1.0487570078712236e-05
9.841198238582704e-06,7.307106905725083e-06,1.1281872769247189e-05,1.2414203855034255e-05,8.273461006934159e-06,1.1532250407178815e-05,2.0086984863295162e-05,1.5967807379959314e-05,,9.97740278336511e-06,1.2078836338496938e-05,6.67648829467256e-06,9.36547765043883e-06,1.1281872769247189e-05,1-Hexadecanol-F,8.664586869282965e-06,9.841198238582704e-06
,1.3585756759300333e-05,,,,,,,,,,,,1.3770475305366092e-05,1-Hexanol-F,,
7.739159808239551e-06,1.9005123557686464e-05,9.042157442033251e-06,1.0953974500899492e-05,2.32416102774216e-05,1.185895803842346e-05,1.0215618079267383e-05,1.0388217036061963e-05,1.6806733516036798e-05,9.36547765043883e-06,1.0215618079267383e-05,1.3278573689408081e-05,1.945039667301927e-05,1.7616001737902115e-05,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",1.5472069966158023e-05,1.630187471995777e-05
,,3.325545417503186e-05,,,,,,,,,,,,"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3alpha,4abeta,6aalpha,10abeta,10balpha)]--F",,
2.4839556875137356e-05,2.832062856085168e-05,1.3355552836233331e-05,1.3770475305366092e-05,1.3035304206314098e-05,4.418146983729302e-06,9.540982189462616e-07,4.824168698834687e-06,0.0003561272394040816,,2.620340902249302e-05,1.9136547226177323e-05,2.4373025423558204e-06,1.5242238489794084e-06,1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,1.8145783165286223e-05,1.0622152596074531e-07
,,,,,,,,,,,,,,1-Monomyristin-F,,
,,,,,,,,,,,,,,1-Monopalmitin-F,,
3.18522214976345e-05,2.4523908347813537e-05,2.869457507807134e-05,2.109789863352044e-05,2.284254472678872e-05,1.945039667301927e-05,2.5475803733856748e-05,2.7971670520343615e-05,2.109789863352044e-05,2.109789863352044e-05,2.4146847623151994e-05,1.621220549397703e-05,2.1495977798260634e-05,2.049905241642875e-05,1-Octadecanol-F,2.0086984863295162e-05,1.783254620541652e-05
,2.869457507807134e-05,3.390145491397535e-05,,2.3887850772886572e-05,1.8383241545773224e-05,,4.012561288730162e-05,,2.1841778363667702e-05,,1.7467951015074844e-05,,2.9897597847884973e-05,1-Octanol-F,2.3887850772886572e-05,1.7188950981714575e-05
6.892096132425918e-07,,,0.00013523449472860487,,,,7.112681932279086e-05,,,,,,0.00010008275453845451,"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]--F",0.0001936990815429624,
2.4523908347813537e-05,2.4839556875137356e-05,2.0666979472325727e-05,3.838907268305318e-06,2.304591577534761e-05,1.2078836338496938e-05,2.4373025423558204e-06,2.5902726833547406e-05,2.0086984863295162e-05,6.4835340690195805e-06,6.3799680352538855e-06,1.1476418585063053e-05,1.7188950981714575e-05,1.572011312693568e-05,"1-Propanamine, N,N-diethyl--F",1.9136547226177323e-05,1.3856208526654547e-05
2.6577301920419655e-05,4.591718606998633e-06,3.123124662168535e-05,9.71201344212411e-06,1.9136547226177323e-05,,1.2480303729688103e-05,0.00013523449472860487,2.9897597847884973e-05,1.6054494792383944e-05,4.418146983729302e-06,,1.9136547226177323e-05,1.0594866739571737e-06,1-Tetracosene-F,,
6.3799680352538855e-06,,8.379970012515422e-06,6.029258748765645e-06,4.060200940597134e-06,3.2548715103668688e-06,5.346310822575526e-06,7.053780821325238e-06,4.892517280039451e-06,6.195719989485858e-06,5.404488417593672e-06,3.2548715103668688e-06,4.824168698834687e-06,4.204972701868237e-06,1-Tetradecanol-F,3.993510637437755e-06,1.4500776211059256e-06
,,,3.390145491397535e-05,,,,,,0.00010008275453845451,,,4.157008035756903e-05,,"2',2,3,6'-Tetramethoxychalcone-F",,
1.4147287377574096e-05,1.0155997232356117e-05,1.500034223834365e-05,1.2347078088056741e-05,1.185895803842346e-05,9.782871268536e-06,1.0620821558699816e-05,1.4275578830208245e-05,8.91178878016954e-06,1.1202664999138725e-05,1.0435167259978e-05,6.4835340690195805e-06,1.2871502161561723e-05,9.841198238582704e-06,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate-F",1.1476418585063053e-05,6.67648829467256e-06
4.285824892463443e-06,7.411163384854276e-06,8.13723267435006e-06,1.0326710833809038e-05,7.130834026515903e-06,2.797508392698753e-07,1.5242238489794084e-06,6.572915440251007e-06,1.5365543292194056e-05,4.204972701868237e-06,3.7086876766137524e-06,9.11575565424583e-06,1.0594866739571737e-06,7.5656840096351e-07,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone-F",4.204972701868237e-06,6.27408295725197e-07
1.5365543292194056e-05,1.8145783165286223e-05,1.6806733516036798e-05,7.900262314483305e-06,1.0778852401770285e-05,1.1040308477624518e-05,1.2871502161561723e-05,1.1932006955256328e-05,1.825126257942127e-05,1.4444563084082658e-05,1.5561833237917407e-05,2.3629461226985454e-05,1.2768255496444658e-05,1.5855880502191168e-05,"2,3,4-Trihydroxybutyric acid-F",1.1347893720169175e-05,1.2414203855034255e-05
5.601311560210204e-07,2.355667624442488e-06,4.892517280039451e-06,1.128240951081323e-06,1.7822389905926072e-06,3.0433484155440252e-06,2.9188931357302075e-06,3.4516493982857194e-06,3.838907268305318e-06,3.32334173050494e-06,2.680847064643316e-06,1.5242238489794084e-06,2.2328191271527273e-06,5.251696931839343e-06,"2,3-Butanediol-F",1.6696406259132334e-06,9.540982189462616e-07
1.0778852401770285e-05,1.0620821558699816e-05,,,7.112681932279086e-05,,,,,,,2.832062856085168e-05,3.390145491397535e-05,3.1616497607301085e-06,"2,3-Dihydroxy-2-methylpropanoic acid-F",1.3585756759300333e-05,4.786228592863906e-05
,,,,,,,,,,,,,,"2,3-Dihydroxypropyl icosanoate-F",3.0433484155440252e-06,
,,,,,,,,,,,,,,"2,4,6-Tris(1,1-dimethylethyl)-4-methylcyclohexa-2,5-dien-1-one-F",,
,,2.4146847623151994e-05,,1.928136910916207e-05,,,,2.7971670520343615e-05,1.0665728533051417e-05,4.345004654507616e-05,1.6670124926057917e-05,,,"2,4-Di-tert-butylphenol-F",2.7971670520343615e-05,
8.13723267435006e-06,6.838683640633865e-06,1.0728957563634708e-05,6.572915440251007e-06,1.227050958596087e-05,2.9188931357302075e-06,6.979769416166107e-06,1.0620821558699816e-05,6.101294479028287e-06,1.0090781793674957e-05,1.0665728533051417e-05,4.204972701868237e-06,8.32966123896967e-06,6.334246960659083e-06,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F",4.989975540120855e-06,1.128240951081323e-06
1.296183527434534e-05,1.0728957563634708e-05,9.906362729385416e-06,5.962390865157176e-06,1.309830459546029e-05,1.296183527434534e-05,1.7467951015074844e-05,9.213874226892582e-06,1.3674707895242089e-05,1.6558376670944696e-05,1.5855880502191168e-05,1.2615483742156777e-05,1.4558705444856754e-05,1.945039667301927e-05,"2,5-Dimethoxybenzhydrazide-F",1.6054494792383944e-05,1.3355552836233331e-05
,,4.345004654507616e-05,2.75920974319075e-05,,,2.5058159326239772e-05,,,4.012561288730162e-05,,5.2620193109722245e-05,,2.75920974319075e-05,"2,5-Dimethoxymandelic acid-F",,
1.227050958596087e-05,1.1932006955256328e-05,1.825126257942127e-05,9.213874226892582e-06,5.153499881227712e-06,8.91178878016954e-06,8.975405167154787e-06,1.5561833237917407e-05,8.52754837063112e-06,1.0435167259978e-05,1.2615483742156777e-05,8.664586869282965e-06,9.575632659392894e-06,1.621220549397703e-05,"2,5-Dimethoxyphenol-F",1.0388217036061963e-05,8.91178878016954e-06
9.663234752463429e-06,6.740618821722773e-06,1.0572238813670336e-05,9.663234752463429e-06,4.4736981628389446e-06,8.32966123896967e-06,6.572915440251007e-06,9.71201344212411e-06,7.307106905725083e-06,9.575632659392894e-06,9.575632659392894e-06,5.5036087935702295e-06,6.267353285256778e-06,8.32966123896967e-06,"2,5-Di-tert-butyl-4-hydroxyphenol-F",7.556100302843182e-06,5.061030294190105e-06
2.5902726833547406e-05,,1.1675022877535101e-05,,,,,,5.2620193109722245e-05,,5.5536882704780605e-05,8.511103045165092e-07,,4.6800313895402444e-07,"2,6-Di-O-methyl-d-galactopyranose-F",,2.937539143324575e-08
1.8591246095945467e-05,1.8862619276440532e-05,2.75920974319075e-05,1.1760244376352708e-05,1.0262900891441453e-05,1.3961749599710963e-05,1.6806733516036798e-05,1.8383241545773224e-05,1.0913699317503476e-05,1.621220549397703e-05,1.783254620541652e-05,1.0913699317503476e-05,1.319001212318989e-05,1.9005123557686464e-05,"2-Allyl-1,4-dimethoxybenzene-F",1.227050958596087e-05,1.309830459546029e-05
,,,,,,4.6800313895402444e-07,,,2.4373025423558204e-06,,,,8.664586869282965e-06,2-Amino-4-tert-butylphenol-F,2.1495977798260634e-05,
5.805401985800017e-06,9.18777604581322e-06,5.061030294190105e-06,1.3856208526654547e-05,1.0728957563634708e-05,8.379970012515422e-06,8.074625385414086e-06,1.0728957563634708e-05,5.404488417593672e-06,1.0953974500899492e-05,9.841198238582704e-06,1.0778852401770285e-05,1.0620821558699816e-05,8.379970012515422e-06,2-Aminoadipic acid-F,9.18777604581322e-06,9.47162724769854e-06
1.928136910916207e-05,2.3887850772886572e-05,,1.0665728533051417e-05,1.0435167259978e-05,2.4839556875137356e-05,9.97740278336511e-06,2.3629461226985454e-05,9.311484054051763e-06,2.869457507807134e-05,3.123124662168535e-05,0.0003561272394040816,1.79827107792425e-05,1.4558705444856754e-05,2-Aminobutanoic acid-F,1.1281872769247189e-05,9.258704550439152e-06
2.9259696673225892e-05,4.5543860543956285e-05,2.206122410994635e-05,2.304591577534761e-05,4.5543860543956285e-05,2.6879062833220023e-05,2.12914751205636e-05,3.2541480802974324e-05,2.049905241642875e-05,2.0944208513152994e-05,3.680674354561085e-05,2.6577301920419655e-05,2.7971670520343615e-05,2.620340902249302e-05,2-Butenedioic acid-F,2.5058159326239772e-05,2.12914751205636e-05
,,,,,2.049905241642875e-05,,,,7.112681932279086e-05,,,,,"2-Butenoic acid, 2-hydroxy--F",2.5902726833547406e-05,
1.5967807379959314e-05,,1.7616001737902115e-05,9.042157442033251e-06,1.5472069966158023e-05,1.0778852401770285e-05,1.0728957563634708e-05,1.979374274563558e-05,1.2208818932674653e-05,1.1675022877535101e-05,1.4692668790401846e-05,9.47162724769854e-06,1.6054494792383944e-05,1.3856208526654547e-05,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester-F",1.2615483742156777e-05,9.18777604581322e-06
8.511103045165092e-07,1.3294760537846939e-06,2.680847064643316e-06,2.013307005113874e-07,2.013307005113874e-07,4.6800313895402444e-07,3.392496773917764e-07,1.128240951081323e-06,2.680847064643316e-06,1.3294760537846939e-06,8.511103045165092e-07,5.148709247549425e-07,6.892096132425918e-07,6.892096132425918e-07,2'-Deoxyribolactone-F,5.601311560210204e-07,2.6851587212070423e-08
1.0155997232356117e-05,8.789436112149386e-06,9.47162724769854e-06,1.7188950981714575e-05,1.8723461074844276e-05,2.7185629606634106e-05,1.7062796515113937e-05,8.52754837063112e-06,1.7188950981714575e-05,9.782871268536e-06,6.334246960659083e-06,6.497420543599908e-05,7.556100302843182e-06,8.13723267435006e-06,2'-Desoxyuridine-F,2.049905241642875e-05,1.825126257942127e-05
1.3961749599710963e-05,1.3035304206314098e-05,1.5855880502191168e-05,4.989975540120855e-06,1.1996853279076285e-05,1.2615483742156777e-05,1.6558376670944696e-05,7.130834026515903e-06,1.572011312693568e-05,1.0487570078712236e-05,1.8723461074844276e-05,6.979769416166107e-06,5.739971462712748e-06,1.0620821558699816e-05,2-Ethylacetoacetate-F,6.4835340690195805e-06,7.3532242870209334e-06
1.1532250407178815e-05,5.5036087935702295e-06,4.4736981628389446e-06,0.0001936990815429624,1.6696406259132334e-06,6.4835340690195805e-06,2.2545498786391938e-05,2.5503480585556884e-06,8.60022333596996e-06,1.6670124926057917e-05,1.4500776211059256e-06,1.6558376670944696e-05,2.355667624442488e-06,1.2265969563571955e-06,2-Ethylhexanoic acid-F,6.906010842661122e-06,1.596140527472915e-07
,,,,,,,,,,9.311484054051763e-06,,,,"2-Furanacetaldehyde, tetrahydro-alpha-F",1.5855880502191168e-05,
,,,,,,,,,,,,,,2-Furoic acid-F,,
1.1760244376352708e-05,1.3466760060806866e-05,9.575632659392894e-06,,,1.572011312693568e-05,1.693009845688965e-05,9.663234752463429e-06,,9.663234752463429e-06,8.52754837063112e-06,4.418146983729302e-06,7.307106905725083e-06,1.2414203855034255e-05,2-Hydroxy-2-methylbutyric acid-F,,
,,3.18522214976345e-05,2.0944208513152994e-05,,,2.832062856085168e-05,7.996172237438206e-05,,,5.57539324073144e-06,4.285824892463443e-06,,2.7971670520343615e-05,2-Hydroxy-3-methylbutyric acid-F,,2.0666979472325727e-05
1.7188950981714575e-05,1.526312974151954e-05,2.1841778363667702e-05,1.0913699317503476e-05,1.1040308477624518e-05,1.1760244376352708e-05,1.4063340123578813e-05,1.630187471995777e-05,1.4444563084082658e-05,1.5472069966158023e-05,1.979374274563558e-05,9.521792448588312e-06,1.2536257033858529e-05,1.4275578830208245e-05,2-Hydroxy-5-methoxybenzaldehyde-F,1.526312974151954e-05,1.500034223834365e-05
1.4500776211059256e-06,7.053780821325238e-06,1.0913699317503476e-05,4.591718606998633e-06,5.0013878547349586e-05,5.404488417593672e-06,4.157008035756903e-05,9.97740278336511e-06,2.4373025423558204e-06,6.906010842661122e-06,1.3294760537846939e-06,4.060200940597134e-06,7.130834026515903e-06,7.053780821325238e-06,2-Isopropyl-5-methyl-1-heptanol-F,6.334246960659083e-06,2.9188931357302075e-06
4.345004654507616e-05,4.157008035756903e-05,5.2620193109722245e-05,6.838683640633865e-06,3.4796576262333415e-05,2.6577301920419655e-05,9.906362729385416e-06,4.5543860543956285e-05,3.2541480802974324e-05,7.053780821325238e-06,4.892517280039451e-06,2.5058159326239772e-05,3.4796576262333415e-05,3.773422781433982e-05,2-Ketobutyric acid-F,3.4796576262333415e-05,2.2306934121041924e-05
,,,,,,,,,,,,,,2-Ketohexanoic acid-F,,
0.0001936990815429624,,,,,1.4620042027486711e-05,,,,,,,0.0003561272394040816,,"2-Methyl-4,6-dinitrophenol-F",,
,,,1.9986426685893328e-05,,,3.18522214976345e-05,3.325545417503186e-05,2.0300517555349247e-05,,,1.227050958596087e-05,,,2-Octanol-F,,
6.497420543599908e-05,,,,,,5.0013878547349586e-05,6.029258748765645e-06,5.061030294190105e-06,,,,,,2-Palmitoylglycerol-F,0.00010008275453845451,
3.392496773917764e-07,1.1996853279076285e-05,,1.4902948435702968e-05,3.993510637437755e-06,2.0086984863295162e-05,1.79827107792425e-05,1.4558705444856754e-05,4.591718606998633e-06,2.2545498786391938e-05,1.579900772525557e-06,9.782871268536e-06,2.4523908347813537e-05,1.0487570078712236e-05,"2-Pentenedioic acid, 2-hydroxy--F",1.4692668790401846e-05,1.2871502161561723e-05
,8.074625385414086e-06,,,,,,,,1.1760244376352708e-05,,3.7086876766137524e-06,,,2-Pentenedioic acid-F,1.110920651427007e-05,
5.2620193109722245e-05,3.1616497607301085e-06,5.251696931839343e-06,1.0594866739571737e-06,,1.579900772525557e-06,1.6696406259132334e-06,5.962390865157176e-06,4.786228592863906e-05,3.5938707091906705e-06,5.739971462712748e-06,,3.1616497607301085e-06,3.2548715103668688e-06,2-Piperidinone-F,1.579900772525557e-06,6.892096132425918e-07
